event_id,design_id,coarse_dt_s,fine_dt_s,peak_downstream_m3_s_relative_change,maximum_storage_m3_relative_change,baseline_peak_m3_s_relative_change,overflow_change_m3,overflow_onset_change_s,overflow_classification_stable,drawdown_change_s,acceptance_stable,peak_storage_converged
100mm_back_loaded,h0.300_o60,7.5,3.75,0.0007762086789800275,0.0,0.0007762086789773141,0.033025187887176344,0.0,True,15.163273177824976,True,True
100mm_back_loaded,h0.300_o80,7.5,3.75,0.0007762086789800275,0.0,0.0007762086789773141,0.05158759930645829,3.75,True,15.099262819639847,True,True
100mm_back_loaded,h0.300_o100,7.5,3.75,0.0007762086789800275,0.0,0.0007762086789773141,0.07138360552613676,3.75,True,15.042814654898962,True,True
100mm_back_loaded,h0.450_o40,7.5,3.75,0.0007762086789908727,0.0,0.0007762086789773141,0.02024981346499999,3.75,True,14.275122389301487,True,True
100mm_back_loaded,h0.450_o60,7.5,3.75,0.0007762086789908727,0.0,0.0007762086789773141,0.03944451304073482,3.75,True,14.224221216885269,True,True
100mm_back_loaded,h0.450_o80,7.5,3.75,0.0007762086789908727,0.0,0.0007762086789773141,0.061179058352934135,3.75,True,14.129966693345608,True,True
100mm_back_loaded,h0.450_o100,7.5,3.75,0.0007762086789908727,0.0,0.0007762086789773141,0.08420000634723124,0.0,True,14.056640176717394,True,True
100mm_back_loaded,h0.600_o40,7.5,3.75,0.0007762086789908727,0.0,0.0007762086789773141,0.02289909705240234,0.0,True,13.607024847992477,True,True
100mm_back_loaded,h0.600_o60,7.5,3.75,0.0007762086789908727,0.0,0.0007762086789773141,0.04423822392243437,3.75,True,13.51973686108039,True,True
100mm_back_loaded,h0.600_o80,7.5,3.75,0.0007762086789908727,0.0,0.0007762086789773141,0.06882876991588205,0.0,True,13.453278428243465,True,True
100mm_back_loaded,h0.600_o100,7.5,3.75,0.0007762086789908727,0.0,0.0007762086789773141,0.09424857734887837,0.0,True,13.372867345126593,True,True
100mm_back_loaded,h0.750_o40,7.5,3.75,0.000776208678980019,0.0,0.0007762086789773141,0.025080123860021786,0.0,True,13.066829466932006,True,True
100mm_back_loaded,h0.750_o60,7.5,3.75,0.000776208678980019,0.0,0.0007762086789773141,0.048547951052626104,0.0,True,13.004673692280022,True,True
100mm_back_loaded,h0.750_o80,7.5,3.75,0.000776208678980019,0.0,0.0007762086789773141,0.07490148706006039,3.75,True,12.90562316575361,True,True
100mm_back_loaded,h0.750_o100,7.5,3.75,0.000776208678980019,0.0,0.0007762086789773141,0.10244916209447297,0.0,True,12.835819077253774,True,True
100mm_back_loaded,h0.900_o40,7.5,3.75,0.000776208678980019,0.0,0.0007762086789773141,0.02707406304369897,0.0,True,12.643514428357605,True,True
100mm_back_loaded,h0.900_o60,7.5,3.75,0.000776208678980019,0.0,0.0007762086789773141,0.052021685752151825,3.75,True,12.551366189238422,True,True
100mm_back_loaded,h0.900_o80,7.5,3.75,0.000776208678980019,0.0,0.0007762086789773141,0.08016133561886818,3.75,True,12.458952773579313,True,True
100mm_back_loaded,h0.900_o100,7.5,3.75,0.000776208678980019,0.0,0.0007762086789773141,0.10947139420946428,0.0,True,12.398740765550187,True,True
25mm_uniform,h0.150_o40,3.75,1.875,5.029020852545138e-05,0.0,5.029020848796597e-05,0.004388036204709067,1.875,True,7.462783377607707,True,True
25mm_uniform,h0.150_o60,3.75,1.875,5.029020852545138e-05,0.0,5.029020848796597e-05,0.007807881691519469,0.0,True,7.3961272669606615,True,True
25mm_uniform,h0.150_o80,3.75,1.875,5.029020852545138e-05,0.0,5.029020848796597e-05,0.011061264133587656,0.0,True,7.337652503881031,True,True
25mm_uniform,h0.150_o100,3.75,1.875,5.0290208525326416e-05,0.0,5.029020848796597e-05,0.013776502946882374,0.0,True,7.302514063608356,True,True
25mm_uniform,h0.300_o40,3.75,1.875,4.828487820174152e-05,0.0,5.029020848796597e-05,0.00578919944627998,1.875,True,6.641734057197368,True,True
25mm_uniform,h0.300_o60,3.75,1.875,0.00048655831363034056,0.0,5.029020848796597e-05,0.010086003125449494,1.875,True,6.571114861931449,True,True
25mm_uniform,h0.300_o80,3.75,1.875,0.009078381189355672,0.0,5.029020848796597e-05,0.013660946227751714,1.875,True,6.521711069994041,True,True
25mm_uniform,h0.300_o100,3.75,1.875,0.0001753320695722807,0.000282452206896049,5.029020848796597e-05,0.0,,True,5.340281943350078,True,True
25mm_uniform,h0.450_o40,3.75,1.875,4.308226671207681e-05,8.15798173256795e-05,5.029020848796597e-05,0.0,,True,3.785365400013063,True,True
25mm_uniform,h0.450_o60,3.75,1.875,8.205747747039199e-05,0.00014956743402672951,5.029020848796597e-05,0.0,,True,4.20243589981979,True,True
25mm_uniform,h0.450_o80,3.75,1.875,0.00012715369645069474,0.0002201282424208043,5.029020848796597e-05,0.0,,True,4.514191896178943,True,True
25mm_uniform,h0.450_o100,3.75,1.875,0.0001753320695722807,0.000282452206896049,5.029020848796597e-05,0.0,,True,4.770037474655453,True,True
25mm_uniform,h0.600_o40,3.75,1.875,4.308226671207681e-05,8.15798173256795e-05,5.029020848796597e-05,0.0,,True,3.380820415148378,True,True
25mm_uniform,h0.600_o60,3.75,1.875,8.205747747039199e-05,0.00014956743402672951,5.029020848796597e-05,0.0,,True,3.7979263287454046,True,True
25mm_uniform,h0.600_o80,3.75,1.875,0.00012715369645069474,0.0002201282424208043,5.029020848796597e-05,0.0,,True,4.109718802683915,True,True
25mm_uniform,h0.600_o100,3.75,1.875,0.0001753320695722807,0.000282452206896049,5.029020848796597e-05,0.0,,True,4.365549661731549,True,True
25mm_uniform,h0.750_o40,3.75,1.875,4.308226671207681e-05,8.15798173256795e-05,5.029020848796597e-05,0.0,,True,3.0670086892570225,True,True
25mm_uniform,h0.750_o60,3.75,1.875,8.205747747039199e-05,0.00014956743402672951,5.029020848796597e-05,0.0,,True,3.4841285564283453,True,True
25mm_uniform,h0.750_o80,3.75,1.875,0.00012715369645069474,0.0002201282424208043,5.029020848796597e-05,0.0,,True,3.7959234447043855,True,True
